id,content,timestamp,link,competitor,platform,label,user
1842203681858412666,"@ViteConf Looking forward to the individual talks getting released, but what a grewat conference! Thanks for putting it on!",2024-10-04 14:02:38.000,https://twitter.com/TheTiGuR/status/1842203681858412666,codeiumdev,twitter,neither,TheTiGuR
1842203025278165324,"ViteConf 24 was a blast! What an incredible community and ecosystem! 💜
You can now watch all the talks at this year's replayer! Explore the whole stream and share the URL of your favorite talks! Shoutout to all speakers! Enjoy! 🙌
https://t.co/rAtoZl80Tm",2024-10-04 14:00:02.000,https://twitter.com/ViteConf/status/1842203025278165324,codeiumdev,twitter,wow,ViteConf
1841737662362738793,@ViteConf Let's do this!,2024-10-03 07:10:51.000,https://twitter.com/CrabNebulaDev/status/1841737662362738793,codeiumdev,twitter,neither,CrabNebulaDev
1841645219412115819,"Thanks for having me @Bloomberg 

https://t.co/F4N84EmqXb",2024-10-03 01:03:31.000,https://twitter.com/_mohansolo/status/1841645219412115819,codeiumdev,twitter,wow,_mohansolo
1841547280215683189,@codeiumdev What is this?,2024-10-02 18:34:20.000,https://twitter.com/fishraposo/status/1841547280215683189,codeiumdev,twitter,neither,fishraposo
1841508230452715841,@ViteConf lazy work with polyfills,2024-10-02 15:59:10.000,https://twitter.com/cpp_prog/status/1841508230452715841,codeiumdev,twitter,Neither,cpp_prog
1841483411183030326,@ViteConf Yes we are!,2024-10-02 14:20:32.000,https://twitter.com/hussein_kizz/status/1841483411183030326,codeiumdev,twitter,neither,hussein_kizz
1841482545789067619,@ViteConf 🍿,2024-10-02 14:17:06.000,https://twitter.com/FlorianDreier/status/1841482545789067619,codeiumdev,twitter,neither,FlorianDreier
1841481703669285092,@ViteConf Oh YES! 🙌,2024-10-02 14:13:45.000,https://twitter.com/soubiran_/status/1841481703669285092,codeiumdev,twitter,neither,soubiran_
1841481099823772000,Are you ready? https://t.co/aYEjhmUCIU https://t.co/U6ywptG0xf,2024-10-02 14:11:21.000,https://twitter.com/ViteConf/status/1841481099823772000,codeiumdev,twitter,wow,ViteConf
1841280426351939631,@codeiumdev I need to cancel my subscription but there is no option in the website,2024-10-02 00:53:57.000,https://twitter.com/mangandini/status/1841280426351939631,codeiumdev,twitter,pain,mangandini
1839024549658005508,@Pragmatic_Eng @simonw Added to my Listen List 😎,2024-09-25 19:29:54.000,https://twitter.com/ArturAtTheX/status/1839024549658005508,codeiumdev,twitter,"😊

wow",ArturAtTheX
1838954814945767690,@Pragmatic_Eng @simonw I've listened to quite a few podcast episodes with @simonw about LLMs. I hope that your podcast will cover new ground that hasn't been covered too much elsewhere.,2024-09-25 14:52:48.000,https://twitter.com/smlpth/status/1838954814945767690,codeiumdev,twitter,neither,smlpth
1838946141544579181,"Shout out to the podcast's sponsors:

- @codeiumdev: ​​Join the 700K+ developers using the IT-approved AI-powered code assistant. https://t.co/xgyelvbrdJ

- @tldrnewsletter: Keep up with tech in 5 minutes https://t.co/gwwEKGsgPc",2024-09-25 14:18:20.000,https://twitter.com/Pragmatic_Eng/status/1838946141544579181,codeiumdev,twitter,pain,Pragmatic_Eng
1838945155220488552,"The first episode of Pragmatic Engineer Podcast is out! We cover AI tools for software engineers, but without the hype, with @simonw.

Listen on Spotify, YouTube, Apple Podcasts or your favorite player: https://t.co/HCt6xbXC6I

On a ""scary"" LLMs moment Simon had: https://t.co/W1EcpAOgxQ",2024-09-25 14:14:25.000,https://twitter.com/Pragmatic_Eng/status/1838945155220488552,codeiumdev,twitter,wow,Pragmatic_Eng
1838586321516007933,"@codeiumdev I just cancelled Cody, Github Copilot and returned to Cody. 
""Pro"" looks promising.",2024-09-24 14:28:32.000,https://twitter.com/khuongduy1897/status/1838586321516007933,codeiumdev,twitter,pain,khuongduy1897
1837420914407100890,@codeiumdev will jetbrains fleet be supported?,2024-09-21 09:17:38.000,https://twitter.com/vSkankHunter_42/status/1837420914407100890,codeiumdev,twitter,neither,vSkankHunter_42
1837277129710653452,"@kevinhou22 I'm expecting big things out of this

https://t.co/w8oGHlmV9g",2024-09-20 23:46:17.000,https://twitter.com/code_ontherocks/status/1837277129710653452,codeiumdev,twitter,wow,code_ontherocks
1837243764718367059,@kevinhou22 this is really cool,2024-09-20 21:33:42.000,https://twitter.com/jrysana/status/1837243764718367059,codeiumdev,twitter,wow,jrysana
1837222950417879375,@kevinhou22 Imagine how fast it could be if @CerebrasSystems powered your inference :),2024-09-20 20:10:59.000,https://twitter.com/SarahChieng/status/1837222950417879375,codeiumdev,twitter,wow,SarahChieng
1837220317711712391,@kevinhou22 it is so over,2024-09-20 20:00:32.000,https://twitter.com/swyx/status/1837220317711712391,codeiumdev,twitter,pain,swyx
1837196288758272449,@kevinhou22 Take my money 💰,2024-09-20 18:25:03.000,https://twitter.com/aravind_gpt/status/1837196288758272449,codeiumdev,twitter,neither,aravind_gpt
